PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30002698","Dialysis vintage stratified comparison of body composition, hydration and nutritional state in peritoneal dialysis and hemodialysis patients","Hoppe K, Schwermer K, Kawka A, Klysz P, Baum E, Kaluzna M, Sikorska D, Scigacz A, Lindholm B, Pawlaczyk K, Oko A.","Arch Med Sci. 2018 Jun;14(4):807-817. doi: 10.5114/aoms.2016.61902. Epub 2016 Aug 22.","Hoppe K","Arch Med Sci","2018","2018/07/14","PMC6040140","","10.5114/aoms.2016.61902"
"29497233","Childhood Adversity and Trajectories of Disadvantage Through Adulthood: Findings from the Stockholm Birth Cohort Study","Almquist YB, Brännström L.","Soc Indic Res. 2018;136(1):225-245. doi: 10.1007/s11205-016-1528-6. Epub 2016 Dec 29.","Almquist YB","Soc Indic Res","2018","2018/03/03","PMC5816115","","10.1007/s11205-016-1528-6"
"29379544","The influence of various therapeutic regimens on early clinical and laboratory response and outcome of children with secondary hemophagocytic lymphohistiocytosis","Buda P, Gietka P, Książyk JB, Machaczka M.","Arch Med Sci. 2018 Jan;14(1):138-150. doi: 10.5114/aoms.2015.56325. Epub 2016 Mar 4.","Buda P","Arch Med Sci","2018","2018/01/31","PMC5778409","","10.5114/aoms.2015.56325"
"28890741","Coexisting Disadvantages in later Life: Demographic and Socio-Economic Inequalities","Heap J, Fors S, Lennartsson C.","J Popul Ageing. 2017;10(3):247-267. doi: 10.1007/s12062-016-9158-y. Epub 2016 Sep 2.","Heap J","J Popul Ageing","2017","2017/09/12","PMC5569129","","10.1007/s12062-016-9158-y"
"28848664","The European Cancer Patient's Bill of Rights, update and implementation 2016","Lawler M, Banks I, Law K, Albreht T, Armand JP, Barbacid M, Barzach M, Bergh J, Cameron D, Conte P, de Braud F, de Gramont A, De Lorenzo F, Diehl V, Diler S, Erdem S, Geissler J, Gore-Booth J, Henning G, Højgaard L, Horgan D, Jassem J, Johnson P, Kaasa S, Kapitein P, Karjalainen S, Kelly J, Kienesberger A, La Vecchia C, Lacombe D, Lindahl T, Löwenberg B, Luzzatto L, Malby R, Mastris K, Meunier F, Murphy M, Naredi P, Nurse P, Oliver K, Pearce J, Pelouchov J, Piccart M, Pinedo B, Spurrier-Bernard G, Sullivan R, Tabernero J, Van de Velde C, van Herk B, Vedsted P, Waldmann A, Weller D, Wilking N, Wilson R, Yared W, Zielinski C, Zur Hausen H, Le Chevalier T, Johnston P, Selby P.","ESMO Open. 2017 Jan 6;1(6):e000127. doi: 10.1136/esmoopen-2016-000127. eCollection 2016.","Lawler M","ESMO Open","2017","2017/08/30","PMC5548978","","10.1136/esmoopen-2016-000127"
"28736455","Using kaizen to improve employee well-being: Results from two organizational intervention studies","von Thiele Schwarz U, Nielsen KM, Stenfors-Hayes T, Hasson H.","Hum Relat. 2017 Aug;70(8):966-993. doi: 10.1177/0018726716677071. Epub 2016 Dec 1.","von Thiele Schwarz U","Hum Relat","2017","2017/07/25","PMC5502903","","10.1177/0018726716677071"
"28725739","Towards human exploration of space: the THESEUS review series on cardiovascular, respiratory, and renal research priorities","Aubert AE, Larina I, Momken I, Blanc S, White O, Kim Prisk G, Linnarsson D.","NPJ Microgravity. 2016 Dec 1;2:16031. doi: 10.1038/npjmgrav.2016.31. eCollection 2016.","Aubert AE","NPJ Microgravity","2016","2017/07/21","PMC5515532","","10.1038/npjmgrav.2016.31"
"28721253","Real-time optotracing of curli and cellulose in live Salmonella biofilms using luminescent oligothiophenes","Choong FX, Bäck M, Fahlén S, Johansson LB, Melican K, Rhen M, Nilsson KPR, Richter-Dahlfors A.","NPJ Biofilms Microbiomes. 2016 Nov 23;2:16024. doi: 10.1038/npjbiofilms.2016.24. eCollection 2016.","Choong FX","NPJ Biofilms Microbiomes","2016","2017/07/20","PMC5515270","","10.1038/npjbiofilms.2016.24"
"28721249","Bidirectional communication between the Aryl hydrocarbon Receptor (AhR) and the microbiome tunes host metabolism","Korecka A, Dona A, Lahiri S, Tett AJ, Al-Asmakh M, Braniste V, D'Arienzo R, Abbaspour A, Reichardt N, Fujii-Kuriyama Y, Rafter J, Narbad A, Holmes E, Nicholson J, Arulampalam V, Pettersson S.","NPJ Biofilms Microbiomes. 2016 Aug 24;2:16014. doi: 10.1038/npjbiofilms.2016.14. eCollection 2016.","Korecka A","NPJ Biofilms Microbiomes","2016","2017/07/20","PMC5515264","","10.1038/npjbiofilms.2016.14"
"28643560","Design Quality in the Context of Healthcare Environments: A Scoping Review","Anåker A, Heylighen A, Nordin S, Elf M.","HERD. 2017 Jul;10(4):136-150. doi: 10.1177/1937586716679404. Epub 2016 Dec 18.","Anåker A","HERD","2017","2017/06/24","PMC5484461","","10.1177/1937586716679404"
"28638602","B cell-depleting therapy with rituximab or ofatumumab in immunoglobulin A nephropathy or vasculitis with nephritis","Lundberg S, Westergren E, Smolander J, Bruchfeld A.","Clin Kidney J. 2017 Feb;10(1):20-26. doi: 10.1093/ckj/sfw106. Epub 2016 Dec 13.","Lundberg S","Clin Kidney J","2017","2017/06/23","PMC5469569","","10.1093/ckj/sfw106"
"28621343","Current evidence on the discontinuation of eculizumab in patients with atypical haemolytic uraemic syndrome","Macia M, de Alvaro Moreno F, Dutt T, Fehrman I, Hadaya K, Gasteyger C, Heyne N.","Clin Kidney J. 2017 Jun;10(3):310-319. doi: 10.1093/ckj/sfw115. Epub 2016 Dec 22.","Macia M","Clin Kidney J","2017","2017/06/17","PMC5466111","","10.1093/ckj/sfw115"
"28616488","Building bridges to operationalise one health - A Sino-Swedish collaboration to tackle antibiotic resistance","Cars O, Xiao Y, Stålsby Lundborg C, Nilsson LE, Shen J, Sun Q, Bi Z, Börjesson S, Greko C, Wang Y, Liu Y, Ottoson J, Li X, Nilsson M, Yin H, Bi Z, Zheng B, Xia X, Chen B, Ding L, Sun P, Dyar OJ, Hulth A, Tomson G.","One Health. 2016 Sep 17;2:139-143. doi: 10.1016/j.onehlt.2016.09.002. eCollection 2016 Dec.","Cars O","One Health","2016","2017/06/16","PMC5441327","","10.1016/j.onehlt.2016.09.002"
"28607734","Chronic inflammatory demyelinating polyradiculoneuropathy occurring after autologous haematopoietic stem cell transplantation for multiple sclerosis","Simonsen CS, Hansen G, Piehl F, Edland A.","Mult Scler J Exp Transl Clin. 2016 Jul 12;2:2055217316658304. doi: 10.1177/2055217316658304. eCollection 2016 Jan-Dec.","Simonsen CS","Mult Scler J Exp Transl Clin","2016","2017/06/14","PMC5433337","","10.1177/2055217316658304"
"28603386","Quality of life improves early after gender reassignment surgery in transgender women","Lindqvist EK, Sigurjonsson H, Möllermark C, Rinder J, Farnebo F, Lundgren TK.","Eur J Plast Surg. 2017;40(3):223-226. doi: 10.1007/s00238-016-1252-0. Epub 2016 Oct 29.","Lindqvist EK","Eur J Plast Surg","2017","2017/06/13","PMC5440516","","10.1007/s00238-016-1252-0"
"28588976","The How Project: understanding contextual challenges to global surgical care provision in low-resource settings","Raykar NP, Yorlets RR, Liu C, Goldman R, Greenberg SLM, Kotagal M, Farmer PE, Meara JG, Roy N, Gillies RD.","BMJ Glob Health. 2016 Dec 16;1(4):e000075. doi: 10.1136/bmjgh-2016-000075. eCollection 2016.","Raykar NP","BMJ Glob Health","2016","2017/06/08","PMC5321373","","10.1136/bmjgh-2016-000075"
"28579936","Validation of abridged mini-mental state examination scales using population-based data from Sweden and USA","Ericsson MC, Gatz M, Kåreholt I, Parker MG, Fors S.","Eur J Ageing. 2016 Aug 20;14(2):199-205. doi: 10.1007/s10433-016-0394-z. eCollection 2017 Jun.","Ericsson MC","Eur J Ageing","2016","2017/06/06","PMC5435785","","10.1007/s10433-016-0394-z"
"28536394","Complementary Approaches to Existing Target Based Drug Discovery for Identifying Novel Drug Targets","Vasaikar S, Bhatia P, Bhatia PG, Chu Yaiw K.","Biomedicines. 2016 Nov 21;4(4):27. doi: 10.3390/biomedicines4040027.","Vasaikar S","Biomedicines","2016","2017/05/25","PMC5344266","","10.3390/biomedicines4040027"
"28515538","Effects of Engaging in Repeated Mental Imagery of Future Positive Events on Behavioural Activation in Individuals with Major Depressive Disorder","Renner F, Ji JL, Pictet A, Holmes EA, Blackwell SE.","Cognit Ther Res. 2017;41(3):369-380. doi: 10.1007/s10608-016-9776-y. Epub 2016 Apr 9.","Renner F","Cognit Ther Res","2017","2017/05/19","PMC5410208","","10.1007/s10608-016-9776-y"
"28503357","How Bad Is It? Usefulness of the ""7eed Model"" for Scoring Severity and Level of Need in Complex Emergencies","Eriksson A, Gerdin M, Garfield R, Tylleskar T, von Schreeb J.","PLoS Curr. 2016 Jun 28;8:ecurrents.dis.d59e0fa39887031e1c3763851a6e5c2a. doi: 10.1371/currents.dis.d59e0fa39887031e1c3763851a6e5c2a.","Eriksson A","PLoS Curr","2016","2017/05/16","PMC5419815","","10.1371/currents.dis.d59e0fa39887031e1c3763851a6e5c2a"
"28490858","Social Network Size and Cognitive Functioning in Middle-Aged Adults: Cross-Sectional and Longitudinal Associations","Sörman DE, Rönnlund M, Sundström A, Norberg M, Nilsson LG.","J Adult Dev. 2017;24(2):77-88. doi: 10.1007/s10804-016-9248-3. Epub 2016 Nov 15.","Sörman DE","J Adult Dev","2017","2017/05/12","PMC5401708","","10.1007/s10804-016-9248-3"
"28462355","""Who Wants to Go Repeatedly to the Hospital?"" Perceptions and Experiences of Simplified Medical Abortion in Rajasthan, India","Iyengar K, Klingberg Allvin M, Iyengar SD, Danielsson KG, Essén B.","Glob Qual Nurs Res. 2016 Dec 19;3:2333393616683073. doi: 10.1177/2333393616683073. eCollection 2016 Jan-Dec.","Iyengar K","Glob Qual Nurs Res","2016","2017/05/03","PMC5342849","","10.1177/2333393616683073"
"28461935","Developing a national quality registry for hand surgery: challenges and opportunities","Arner M.","EFORT Open Rev. 2017 Mar 13;1(4):100-106. doi: 10.1302/2058-5241.1.000045. eCollection 2016 Apr.","Arner M","EFORT Open Rev","2017","2017/05/03","PMC5367535","","10.1302/2058-5241.1.000045"
"28443211","Evaluation of common variants in MG53 and the risk of type 2 diabetes and insulin resistance in Han Chinese","Yang S, Zhao H, Xu K, Qian Y, Wu M, Yang T, Chen Y, Zhao X, Chen J, Wen J, Hu Z, Gu HF, Shen H, Shen C.","Springerplus. 2016 May 12;5(1):612. doi: 10.1186/s40064-016-2218-1. eCollection 2016.","Yang S","Springerplus","2016","2017/04/27","PMC5395513","","10.1186/s40064-016-2218-1"
"28357372","Bacterial genotoxin functions as immune-modulator and promotes host survival","Guidi R, Belluz LD, Frisan T.","Microb Cell. 2016 Jul 28;3(8):355-357. doi: 10.15698/mic2016.08.520.","Guidi R","Microb Cell","2016","2017/03/31","PMC5349015","","10.15698/mic2016.08.520"
"28348831","Methionine-mediated gene expression and characterization of the CmhR regulon in Streptococcus pneumoniae","Afzal M, Shafeeq S, Kuipers OP.","Microb Genom. 2016 Oct 21;2(10):e000091. doi: 10.1099/mgen.0.000091. eCollection 2016 Oct.","Afzal M","Microb Genom","2016","2017/03/29","PMC5359408","","10.1099/mgen.0.000091"
"28299175","Evaluation of the Postoperative Quality of Recovery Scale test and re-test in Swedish among healthy volunteers","Jildenstål P, Eriksson J, Warren Stomberg M, Jakobsson JG.","F1000Res. 2016 Oct 21;5:2549. doi: 10.12688/f1000research.9740.1. eCollection 2016.","Jildenstål P","F1000Res","2016","2017/03/17","PMC5310376","","10.12688/f1000research.9740.1"
"28251037","Health-related quality of life and musculoskeletal function in patients with musculoskeletal disorders: after compared to before short-term group-based aqua-exercises","Enblom A, Wicher M, Nordell T.","Eur J Physiother. 2016 Oct 1;18(4):218-225. doi: 10.1080/21679169.2016.1181208. Epub 2016 May 23.","Enblom A","Eur J Physiother","2016","2017/03/03","PMC5309865","","10.1080/21679169.2016.1181208"
"28239214","Mental Imagery-Based Training to Modify Mood and Cognitive Bias in Adolescents: Effects of Valence and Perspective","Burnett Heyes S, Pictet A, Mitchell H, Raeder SM, Lau JYF, Holmes EA, Blackwell SE.","Cognit Ther Res. 2017;41(1):73-88. doi: 10.1007/s10608-016-9795-8. Epub 2016 Aug 8.","Burnett Heyes S","Cognit Ther Res","2017","2017/02/28","PMC5306169","","10.1007/s10608-016-9795-8"
"28217762","Clinical Application of Interferon-γ Release Assays for the Prevention of Tuberculosis in Countries with Low Incidence","Lange C, Mandalakas AM, Kalsdorf B, Denkinger CM, Sester M.","Pathog Immun. 2016;1(2):308-329. doi: 10.20411/pai.v1i2.173. Epub 2016 Jan 4.","Lange C","Pathog Immun","2016","2017/02/21","PMC5315027","NIHMS841040","10.20411/pai.v1i2.173"
"28217151","Infantile tremor syndrome: Role of Vitamin B12 revisited","Gupta R, Mandliya J, Sonker P, Patil V, Agrawal M, Pathak A.","J Pediatr Neurosci. 2016 Oct-Dec;11(4):305-308. doi: 10.4103/1817-1745.199463.","Gupta R","J Pediatr Neurosci","2016","2017/02/21","PMC5314842","","10.4103/1817-1745.199463"
"28210612","Socioeconomic inequalities in health among school-aged adolescents in Tehran","Ramezanian M, Soares J, Khankeh H, Macassa G.","Med J Islam Repub Iran. 2016 Nov 23;30:447. eCollection 2016.","Ramezanian M","Med J Islam Repub Iran","2016","2017/02/18","PMC5307625","",""
"28210576","Design of formative assessment model for professional behavior using stages of change theory","Hashemi A, Mirzazadeh A, Shirazi M, Asghari F.","Med J Islam Repub Iran. 2016 Sep 6;30:411. eCollection 2016.","Hashemi A","Med J Islam Repub Iran","2016","2017/02/18","PMC5307633","",""
"28190908","Transitions Between Compensated Work Disability, Joblessness, and Self-Sufficiency: A Cohort Study 1997-2010 of Those Jobless in 1995","Wiberg M, Marklund S, Alexanderson K.","Popul Res Policy Rev. 2017;36(1):85-107. doi: 10.1007/s11113-016-9412-2. Epub 2016 Sep 14.","Wiberg M","Popul Res Policy Rev","2017","2017/02/14","PMC5272880","","10.1007/s11113-016-9412-2"
"28185592","Unlocking community capabilities for improving maternal and newborn health: participatory action research to improve birth preparedness, health facility access, and newborn care in rural Uganda","Ekirapa-Kiracho E, Namazzi G, Tetui M, Mutebi A, Waiswa P, Oo H, Peters DH, George AS.","BMC Health Serv Res. 2016 Nov 15;16(Suppl 7):638. doi: 10.1186/s12913-016-1864-x.","Ekirapa-Kiracho E","BMC Health Serv Res","2016","2017/02/11","PMC5123379","","10.1186/s12913-016-1864-x"
"28185567","From comorbidities of chronic obstructive pulmonary disease to identification of shared molecular mechanisms by data integration","Gomez-Cabrero D, Menche J, Vargas C, Cano I, Maier D, Barabási AL, Tegnér J, Roca J; Synergy-COPD Consortia.","BMC Bioinformatics. 2016 Nov 22;17(Suppl 15):441. doi: 10.1186/s12859-016-1291-3.","Gomez-Cabrero D","BMC Bioinformatics","2016","2017/02/11","PMC5133493","","10.1186/s12859-016-1291-3"
