PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33520755","Validity of the Brief Child and Family Phone Interview by comparison with Longitudinal Expert All Data diagnoses in outpatients","Andersson M, Bäckström M, Ivarsson T, Råstam M, Jarbin H.","Scand J Child Adolesc Psychiatr Psychol. 2020 Oct 18;6(2):83-90. doi: 10.21307/sjcapp-2018-009. eCollection 2018.","Andersson M","Scand J Child Adolesc Psychiatr Psychol","2020","2021/02/01","PMC7703845","","10.21307/sjcapp-2018-009"
"33005262","The future of capsule endoscopy in clinical practice: from diagnostic to therapeutic experimental prototype capsules","Vasilakakis MD, Koulaouzidis A, Marlicz W, Iakovidis DK.","Prz Gastroenterol. 2020;15(3):179-193. doi: 10.5114/pg.2019.87528. Epub 2019 Sep 4.","Vasilakakis MD","Prz Gastroenterol","2020","2020/10/02","PMC7509905","","10.5114/pg.2019.87528"
"32994758","Opposites Attract: Assortative Mating and Immigrant-Native Intermarriage in Contemporary Sweden","Elwert A.","Eur J Popul. 2019 Dec 11;36(4):675-709. doi: 10.1007/s10680-019-09546-9. eCollection 2020 Sep.","Elwert A","Eur J Popul","2019","2020/09/30","PMC7492336","","10.1007/s10680-019-09546-9"
"32934571","Out of the ordinary: Media reports on wet eldercare facilities","Jönson H, Harnett T.","Nordisk Alkohol Nark. 2019 Aug;36(4):330-343. doi: 10.1177/1455072519826772. Epub 2019 Mar 21.","Jönson H","Nordisk Alkohol Nark","2019","2020/09/16","PMC7434184","","10.1177/1455072519826772"
"32905412","Clinical parameters predicting complications in native kidney biopsies","Peters B, Nasic S, Segelmark M.","Clin Kidney J. 2019 Oct 19;13(4):654-659. doi: 10.1093/ckj/sfz132. eCollection 2020 Aug.","Peters B","Clin Kidney J","2019","2020/09/09","PMC7467621","","10.1093/ckj/sfz132"
"32671954","The Mini-Organo: A rapid high-throughput 3D coculture organotypic assay for oncology screening and drug development","Chitty JL, Skhinas JN, Filipe EC, Wang S, Cupello CR, Grant RD, Yam M, Papanicolaou M, Major G, Zaratzian A, Da Silva AM, Tayao M, Vennin C, Timpson P, Madsen CD, Cox TR.","Cancer Rep (Hoboken). 2020 Feb;3(1):e1209. doi: 10.1002/cnr2.1209. Epub 2019 Aug 1.","Chitty JL","Cancer Rep (Hoboken)","2020","2020/07/17","PMC7941459","","10.1002/cnr2.1209"
"32518567","Weight Development in Children After Gastric Bypass Surgery","Larsson L, Landin-Olsson M, Nilsson C.","J Family Reprod Health. 2019 Dec;13(4):176-180.","Larsson L","J Family Reprod Health","2019","2020/06/11","PMC7264865","",""
"32467701","Not just fuel: energy stores are correlated with immune function and oxidative damage in a long-distance migrant","Eikenaar C, Hegemann A, Packmor F, Kleudgen I, Isaksson C.","Curr Zool. 2020 Feb;66(1):21-28. doi: 10.1093/cz/zoz009. Epub 2019 May 7.","Eikenaar C","Curr Zool","2020","2020/05/30","PMC7245008","","10.1093/cz/zoz009"
"32346468","Advancing an interdisciplinary framework to study seed dispersal ecology","Beckman NG, Aslan CE, Rogers HS, Kogan O, Bronstein JL, Bullock JM, Hartig F, HilleRisLambers J, Zhou Y, Zurell D, Brodie JF, Bruna EM, Cantrell RS, Decker RR, Efiom E, Fricke EC, Gurski K, Hastings A, Johnson JS, Loiselle BA, Miriti MN, Neubert MG, Pejchar L, Poulsen JR, Pufal G, Razafindratsima OH, Sandor ME, Shea K, Schreiber S, Schupp EW, Snell RS, Strickland C, Zambrano J.","AoB Plants. 2019 Aug 19;12(2):plz048. doi: 10.1093/aobpla/plz048. eCollection 2020 Apr.","Beckman NG","AoB Plants","2019","2020/04/30","PMC7179845","","10.1093/aobpla/plz048"
"32256261","Naturalization in a Context of Free Mobility: Evidence from Cross-National Data on Finnish Immigrants in Sweden","Saarela J, Scott K.","Eur J Popul. 2019 Jun 13;36(2):317-335. doi: 10.1007/s10680-019-09530-3. eCollection 2020 Apr.","Saarela J","Eur J Popul","2019","2020/04/08","PMC7113355","","10.1007/s10680-019-09530-3"
