PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35284247","Connecting firm's web scraped textual content to body of science: Utilizing microsoft academic graph hierarchical topic modeling","Hajikhani A, Pukelis L, Suominen A, Ashouri S, Schubert T, Notten A, Cunningham SW.","MethodsX. 2022 Feb 27;9:101650. doi: 10.1016/j.mex.2022.101650. eCollection 2022.","Hajikhani A","MethodsX","2022","2022/03/14","PMC8914545","","10.1016/j.mex.2022.101650"
"35283836","Molecular Epidemiology and Transmission Dynamics of the HIV-1 Epidemic in Ethiopia: Epidemic Decline Coincided With Behavioral Interventions Before ART Scale-Up","Arimide DA, Esquivel-Gómez LR, Kebede Y, Sasinovich S, Balcha T, Björkman P, Kühnert D, Medstrand P.","Front Microbiol. 2022 Feb 25;13:821006. doi: 10.3389/fmicb.2022.821006. eCollection 2022.","Arimide DA","Front Microbiol","2022","2022/03/14","PMC8914292","","10.3389/fmicb.2022.821006"
"35282633","Optimizing the quasi-equilibrium state of hot carriers in all-inorganic lead halide perovskite nanocrystals through Mn doping: fundamental dynamics and device perspectives","Meng J, Lan Z, Lin W, Liang M, Zou X, Zhao Q, Geng H, Castelli IE, Canton SE, Pullerits T, Zheng K.","Chem Sci. 2022 Jan 14;13(6):1734-1745. doi: 10.1039/d1sc05799e. eCollection 2022 Feb 9.","Meng J","Chem Sci","2022","2022/03/14","PMC8827087","","10.1039/d1sc05799e"
"35282166","Sex-specific lesion pattern of functional outcomes after stroke","Bonkhoff AK, Bretzner M, Hong S, Schirmer MD, Cohen A, Regenhardt RW, Donahue KL, Nardin MJ, Dalca AV, Giese AK, Etherton MR, Hancock BL, Mocking SJT, McIntosh EC, Attia J, Benavente OR, Bevan S, Cole JW, Donatti A, Griessenauer CJ, Heitsch L, Holmegaard L, Jood K, Jimenez-Conde J, Kittner SJ, Lemmens R, Levi CR, McDonough CW, Meschia JF, Phuah CL, Rolfs A, Ropele S, Rosand J, Roquer J, Rundek T, Sacco RL, Schmidt R, Sharma P, Slowik A, Söderholm M, Sousa A, Stanne TM, Strbian D, Tatlisumak T, Thijs V, Vagal A, Wasselius J, Woo D, Zand R, McArdle PF, Worrall BB, Jern C, Lindgren AG, Maguire J, Fox MD, Bzdok D, Wu O, Rost NS; MRI-GENIE and GISCOME Investigators and the International Stroke Genetics Consortium.","Brain Commun. 2022 Feb 2;4(2):fcac020. doi: 10.1093/braincomms/fcac020. eCollection 2022.","Bonkhoff AK","Brain Commun","2022","2022/03/14","PMC8914504","","10.1093/braincomms/fcac020"
"35281701","Feasibility of internet-delivered cognitive-behavior therapy for obsessive-compulsive disorder in youth with autism spectrum disorder: A clinical benchmark study","Wickberg F, Lenhard F, Aspvall K, Serlachius E, Andrén P, Johansson F, Silverberg-Mörse M, Mataix-Cols D.","Internet Interv. 2022 Mar 4;28:100520. doi: 10.1016/j.invent.2022.100520. eCollection 2022 Apr.","Wickberg F","Internet Interv","2022","2022/03/14","PMC8904618","","10.1016/j.invent.2022.100520"
"35273198","Natural language analyzed with AI-based transformers predict traditional subjective well-being measures approaching the theoretical upper limits in accuracy","Kjell ONE, Sikström S, Kjell K, Schwartz HA.","Sci Rep. 2022 Mar 10;12(1):3918. doi: 10.1038/s41598-022-07520-w.","Kjell ONE","Sci Rep","2022","2022/03/11","PMC8913644","","10.1038/s41598-022-07520-w"
"35274089","Umbilical cord clamping and management of the third stage of labor: A telephone-survey describing Swedish midwives' clinical practice","Isacson M, Thies-Lagergren L, Oras P, Hellström-Westas L, Andersson O.","Eur J Midwifery. 2022 Feb 10;6:6. doi: 10.18332/ejm/145697. eCollection 2022.","Isacson M","Eur J Midwifery","2022","2022/03/11","PMC8832505","","10.18332/ejm/145697"
"35273926","An Algorithm for Strategic Continuation or Restriction of Asthma Medication Prior to Exercise Challenge Testing in Childhood Exercise Induced Bronchoconstriction","Hengeveld VS, Keijzer PB, Diamant Z, Thio BJ.","Front Pediatr. 2022 Feb 22;10:800193. doi: 10.3389/fped.2022.800193. eCollection 2022.","Hengeveld VS","Front Pediatr","2022","2022/03/11","PMC8902070","","10.3389/fped.2022.800193"
"35273914","Deep Learning-Based Classification of Cancer Cell in Leptomeningeal Metastasis on Cytomorphologic Features of Cerebrospinal Fluid","Yu W, Liu Y, Zhao Y, Huang H, Liu J, Yao X, Li J, Xie Z, Jiang L, Wu H, Cao X, Zhou J, Guo Y, Li G, Ren MX, Quan Y, Mu T, Izquierdo GA, Zhang G, Zhao R, Zhao D, Yan J, Zhang H, Lv J, Yao Q, Duan Y, Zhou H, Liu T, He Y, Bian T, Dai W, Huai J, Wang X, He Q, Gao Y, Ren W, Niu G, Zhao G.","Front Oncol. 2022 Feb 22;12:821594. doi: 10.3389/fonc.2022.821594. eCollection 2022.","Yu W","Front Oncol","2022","2022/03/11","PMC8904144","","10.3389/fonc.2022.821594"
"35270586","Adolescents' Long-Term Experiences of Manageability, Comprehensibility, and Meaningfulness of a Group-Based Exercise Intervention for Depression","Reinodt S, Haglund E, Bremander A, Jarbin H, Larsson I.","Int J Environ Res Public Health. 2022 Mar 2;19(5):2894. doi: 10.3390/ijerph19052894.","Reinodt S","Int J Environ Res Public Health","2022","2022/03/10","PMC8910745","","10.3390/ijerph19052894"
