PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27858748","The Impact of Pregnancy on Myotonic Dystrophy: A Registry-Based Study","Johnson NE, Hung M, Nasser E, Hagerman KA, Chen W, Ciafaloni E, Heatwole CR.","J Neuromuscul Dis. 2015 Oct 7;2(4):447-452. doi: 10.3233/JND-150095.","Johnson NE","J Neuromuscul Dis","2015","2016/11/19","PMC5240614","","10.3233/JND-150095"
"27774215","Marginally scientific? Genetic testing of children and adolescents for lifestyle and health promotion","Caulfield T, Borry P, Toews M, Elger BS, Greely HT, McGuire A.","J Law Biosci. 2015 Nov 16;2(3):627-644. doi: 10.1093/jlb/lsv038. eCollection 2015 Nov.","Caulfield T","J Law Biosci","2015","2016/10/25","PMC5034400","","10.1093/jlb/lsv038"
"27433426","A Biomechanical Comparison of Shape Design and Positioning of Transforaminal Lumbar Interbody Fusion Cages","Comer GC, Behn A, Ravi S, Cheng I.","Global Spine J. 2016 Aug;6(5):432-8. doi: 10.1055/s-0035-1564568. Epub 2015 Sep 14.","Comer GC","Global Spine J","2016","2016/07/20","PMC4947403","","10.1055/s-0035-1564568"
"27419147","Global Comparison of Drug Resistance Mutations After First-Line Antiretroviral Therapy Across Human Immunodeficiency Virus-1 Subtypes","Huang A, Hogan JW, Luo X, DeLong A, Saravanan S, Wu Y, Sirivichayakul S, Kumarasamy N, Zhang F, Phanuphak P, Diero L, Buziba N, Istrail S, Katzenstein DA, Kantor R.","Open Forum Infect Dis. 2015 Nov 3;3(2):ofv158. doi: 10.1093/ofid/ofv158. eCollection 2016 Apr.","Huang A","Open Forum Infect Dis","2015","2016/07/16","PMC4943563","","10.1093/ofid/ofv158"
"27397966","From division of labor to the collective behavior of social insects","Gordon DM.","Behav Ecol Sociobiol. 2016;70(7):1101-1108. doi: 10.1007/s00265-015-2045-3. Epub 2015 Dec 2.","Gordon DM","Behav Ecol Sociobiol","2016","2016/07/12","PMC4917577","","10.1007/s00265-015-2045-3"
"27308455","BRCA1: a movement toward cancer prevention","Alli E, Ford JM.","Mol Cell Oncol. 2015 Jan 21;2(3):e979685. doi: 10.4161/23723556.2014.979685. eCollection 2015 Jul-Sep.","Alli E","Mol Cell Oncol","2015","2016/06/17","PMC4905290","","10.4161/23723556.2014.979685"
"27199532","The debate about p-values","Lu Y, Belitskaya-Levy I.","Shanghai Arch Psychiatry. 2015 Dec 25;27(6):381-5. doi: 10.11919/j.issn.1002-0829.216027.","Lu Y","Shanghai Arch Psychiatry","2015","2016/05/21","PMC4858512","","10.11919/j.issn.1002-0829.216027"
"27163007","Advice for ""Hunting Season""","Bertozzi CR.","ACS Cent Sci. 2015 Dec 23;1(9):464-5. doi: 10.1021/acscentsci.5b00386.","Bertozzi CR","ACS Cent Sci","2015","2016/05/11","PMC4827657","","10.1021/acscentsci.5b00386"
"27163006","A Highly Reversible Room-Temperature Sodium Metal Anode","Seh ZW, Sun J, Sun Y, Cui Y.","ACS Cent Sci. 2015 Nov 25;1(8):449-55. doi: 10.1021/acscentsci.5b00328. Epub 2015 Nov 2.","Seh ZW","ACS Cent Sci","2015","2016/05/11","PMC4827673","","10.1021/acscentsci.5b00328"
"27162990","Chemistry Is Central to Repairing Genes and Global Health: Reflections on the 2015 Nobel Prizes in Chemistry and Physiology or Medicine","Bertozzi CR.","ACS Cent Sci. 2015 Oct 28;1(7):343-4. doi: 10.1021/acscentsci.5b00336.","Bertozzi CR","ACS Cent Sci","2015","2016/05/11","PMC4827536","","10.1021/acscentsci.5b00336"
"27162982","It's about the Students","Bertozzi CR.","ACS Cent Sci. 2015 Sep 23;1(6):279-80. doi: 10.1021/acscentsci.5b00301.","Bertozzi CR","ACS Cent Sci","2015","2016/05/11","PMC4827521","","10.1021/acscentsci.5b00301"
"27162978","In Situ Electrochemical Oxidation Tuning of Transition Metal Disulfides to Oxides for Enhanced Water Oxidation","Chen W, Wang H, Li Y, Liu Y, Sun J, Lee S, Lee JS, Cui Y.","ACS Cent Sci. 2015 Aug 26;1(5):244-51. doi: 10.1021/acscentsci.5b00227. Epub 2015 Jul 15.","Chen W","ACS Cent Sci","2015","2016/05/11","PMC4827502","","10.1021/acscentsci.5b00227"
"27162973","On Being a Closer","Bertozzi CR, Paley MA.","ACS Cent Sci. 2015 Aug 26;1(5):217-8. doi: 10.1021/acscentsci.5b00275.","Bertozzi CR","ACS Cent Sci","2015","2016/05/11","PMC4827550","","10.1021/acscentsci.5b00275"
"27162965","On the Move","Bertozzi CR.","ACS Cent Sci. 2015 Jul 22;1(4):157-8. doi: 10.1021/acscentsci.5b00245.","Bertozzi CR","ACS Cent Sci","2015","2016/05/11","PMC4827477","","10.1021/acscentsci.5b00245"
"27162964","Short Hydrogen Bonds and Proton Delocalization in Green Fluorescent Protein (GFP)","Oltrogge LM, Boxer SG.","ACS Cent Sci. 2015 Jun 24;1(3):148-56. doi: 10.1021/acscentsci.5b00160. Epub 2015 Jun 5.","Oltrogge LM","ACS Cent Sci","2015","2016/05/11","PMC4827562","","10.1021/acscentsci.5b00160"
"27162953","Ultrahigh Surface Area Three-Dimensional Porous Graphitic Carbon from Conjugated Polymeric Molecular Framework","To JW, Chen Z, Yao H, He J, Kim K, Chou HH, Pan L, Wilcox J, Cui Y, Bao Z.","ACS Cent Sci. 2015 May 27;1(2):68-76. doi: 10.1021/acscentsci.5b00149. Epub 2015 May 18.","To JW","ACS Cent Sci","2015","2016/05/11","PMC4827563","","10.1021/acscentsci.5b00149"
"27162947","A Meeting Full of Firsts","Bertozzi CR.","ACS Cent Sci. 2015 May 27;1(2):57. doi: 10.1021/acscentsci.5b00185.","Bertozzi CR","ACS Cent Sci","2015","2016/05/11","PMC4827500","","10.1021/acscentsci.5b00185"
"27148574","De novo truncating variants in the AHDC1 gene encoding the AT-hook DNA-binding motif-containing protein 1 are associated with intellectual disability and developmental delay","Yang H, Douglas G, Monaghan KG, Retterer K, Cho MT, Escobar LF, Tucker ME, Stoler J, Rodan LH, Stein D, Marks W, Enns GM, Platt J, Cox R, Wheeler PG, Crain C, Calhoun A, Tryon R, Richard G, Vitazka P, Chung WK.","Cold Spring Harb Mol Case Stud. 2015 Oct;1(1):a000562. doi: 10.1101/mcs.a000562.","Yang H","Cold Spring Harb Mol Case Stud","2015","2016/05/06","PMC4850891","","10.1101/mcs.a000562"
"27148573","Complete hematologic response of early T-cell progenitor acute lymphoblastic leukemia to the γ-secretase inhibitor BMS-906024: genetic and epigenetic findings in an outlier case","Knoechel B, Bhatt A, Pan L, Pedamallu CS, Severson E, Gutierrez A, Dorfman DM, Kuo FC, Kluk M, Kung AL, Zweidler-McKay P, Meyerson M, Blacklow SC, DeAngelo DJ, Aster JC.","Cold Spring Harb Mol Case Stud. 2015 Oct;1(1):a000539. doi: 10.1101/mcs.a000539.","Knoechel B","Cold Spring Harb Mol Case Stud","2015","2016/05/06","PMC4850884","","10.1101/mcs.a000539"
"27144082","Mindtagger: A Demonstration of Data Labeling in Knowledge Base Construction","Shin J, Ré C, Cafarella M.","Proceedings VLDB Endowment. 2015 Aug;8(12):1920-1923. doi: 10.14778/2824032.2824101.","Shin J","Proceedings VLDB Endowment","2015","2016/05/05","PMC4852148","NIHMS771645","10.14778/2824032.2824101"
"27144081","Incremental Knowledge Base Construction Using DeepDive","Shin J, Wu S, Wang F, De Sa C, Zhang C, Ré C.","Proceedings VLDB Endowment. 2015 Jul;8(11):1310-1321. doi: 10.14778/2809974.2809991.","Shin J","Proceedings VLDB Endowment","2015","2016/05/05","PMC4852149","NIHMS771648","10.14778/2809974.2809991"
"27123494","Evolution of the macromolecular structure of sporopollenin during thermal degradation","Bernard S, Benzerara K, Beyssac O, Balan E, Brown GE Jr.","Heliyon. 2015 Oct 26;1(2):e00034. doi: 10.1016/j.heliyon.2015.e00034. eCollection 2015 Oct.","Bernard S","Heliyon","2015","2016/04/29","PMC4832518","","10.1016/j.heliyon.2015.e00034"
"27069600","Fluctuating fire regimes and their historical effects on genetic variation in an endangered shrubland specialist","Vázquez-Miranda H, Barr KR, Farquhar CC, Zink RM.","Ecol Evol. 2015 Nov 6;5(23):5487-98. doi: 10.1002/ece3.1811. eCollection 2015 Dec.","Vázquez-Miranda H","Ecol Evol","2015","2016/04/13","PMC4813106","","10.1002/ece3.1811"
"27066566","Novel mutations highlight the key role of the ankyrin repeat domain in TRPV4-mediated neuropathy","Sullivan JM, Zimanyi CM, Aisenberg W, Bears B, Chen DH, Day JW, Bird TD, Siskind CE, Gaudet R, Sumner CJ.","Neurol Genet. 2015 Oct 22;1(4):e29. doi: 10.1212/NXG.0000000000000029. eCollection 2015 Dec.","Sullivan JM","Neurol Genet","2015","2016/04/12","PMC4811381","","10.1212/NXG.0000000000000029"
"27051791","Tattoo reactions in an HIV patient: Autoeczematization and progressive allergic reaction to red ink after antiretroviral therapy initiation","Gamba CS, Lambert Smith F, Wisell J, Brown M.","JAAD Case Rep. 2015 Nov 2;1(6):395-8. doi: 10.1016/j.jdcr.2015.09.007. eCollection 2015 Nov.","Gamba CS","JAAD Case Rep","2015","2016/04/07","PMC4809398","","10.1016/j.jdcr.2015.09.007"
"27051747","Mycophenolate mofetil-induced oral ulcerations in solid organ transplant recipients: A report of 3 cases","Salik J, Tang R, Nord K, Schneiderman PI, Grossman ME.","JAAD Case Rep. 2015 Jul 29;1(5):261-3. doi: 10.1016/j.jdcr.2015.06.005. eCollection 2015 Sep.","Salik J","JAAD Case Rep","2015","2016/04/07","PMC4809219","","10.1016/j.jdcr.2015.06.005"
"27046938","Optimal multiple testing under a Gaussian prior on the effect sizes","Dobriban E, Fortney K, Kim SK, Owen AB.","Biometrika. 2015 Dec;102(4):753-766. doi: 10.1093/biomet/asv050. Epub 2015 Nov 4.","Dobriban E","Biometrika","2015","2016/04/06","PMC4813057","","10.1093/biomet/asv050"
"27019711","Establishing good authentication practice (GAP) in secondary care to protect against falsified medicines and improve patient safety","Naughton BD, Smith JA, Brindley DA.","Eur J Hosp Pharm. 2016 Mar;23(2):118-120. doi: 10.1136/ejhpharm-2015-000750. Epub 2015 Oct 1.","Naughton BD","Eur J Hosp Pharm","2016","2016/03/29","PMC4789696","","10.1136/ejhpharm-2015-000750"
"27011857","Level of clinical evidence presented at the International Society for Hip Arthroscopy Annual Scientific Meeting over 5 years (2010-2014)","Kay J, de Sa D, Shallow S, Simunovic N, Safran MR, Philippon MJ, Ayeni OR.","J Hip Preserv Surg. 2015 Aug 14;2(4):332-8. doi: 10.1093/jhps/hnv059. eCollection 2015 Dec.","Kay J","J Hip Preserv Surg","2015","2016/03/25","PMC4732371","","10.1093/jhps/hnv059"
